Repo,URL,File
ropensci/babette,https://github.com/ropensci/babette,codemeta.json
zadrafi/concurve,https://github.com/zadrafi/concurve,codemeta.json
cienciadedatos/dados,https://github.com/cienciadedatos/dados,codemeta.json
ropensci-review-tools/roreviewapi,https://github.com/ropensci-review-tools/roreviewapi,codemeta.json
caltechlibrary/caltechauthors,https://github.com/caltechlibrary/caltechauthors,codemeta.json
jucheval/MeanFieldGraph.jl,https://github.com/jucheval/MeanFieldGraph.jl,codemeta.json
A-Klingenberg/VIPER,https://github.com/A-Klingenberg/VIPER,codemeta.json
demetresfytanides/E3SM_RRM,https://github.com/demetresfytanides/E3SM_RRM,codemeta.json
EcoJulia/EcoBase.jl,https://github.com/EcoJulia/EcoBase.jl,codemeta.json
CSCfi/PID-MS-API,https://github.com/CSCfi/PID-MS-API,codemeta.json
lbbe-software/nlstools,https://github.com/lbbe-software/nlstools,codemeta.json
